ClassSkillIndex,Class,"ClassSkill
AcquireLevel",ClassSkillName,ClassSkillDescription,ClassSkillEffect,ClassSkillRange,ClassSkillTarget,ClassSkillMultiTarget,"ClassSkill
MultiTargetType","ClassSkill
MultiTargetCount",ClassSkillValue,ClassSkillSubValue,,,,
3020,메이지,3,번개 확산,적 한 열에 80% 대미지를 입힌다.,0,1,1,"{1,5}",0,,0.8,,,,,
3030,메이지,5,마력 집중,적 한 명에게 180% 대미지를 입힌다. 다음 자신의 턴 1턴을 건너뛴다.,0,1,0,,,,1.8,,,,,
3040,메이지,7,연쇄 번개,"전열의 적 한 명에게 70% 대미지를 입히고, 인접한 적 한 명에게 추가로 50% 대미지를 입힌다.",0,1,0,"{1,3,5}",1,1,0.7,0.5,,,,
3050,메이지,10,메테오,적 전열과 후열의 모든 적에게 60% 대미지를 준다.,0,1,2,,,,0.6,,,,,
3060,메이지,12,마력 폭발,"적 1명에게 체력이 높을수록 높은 대미지를 입힌다. (기본 150% + 적의 최대 체력 대비 현재 체력 10%가 낮아질 때마다 10% 감소, 최소 100%)",0,1,0,,,,1.5,,,,,
3070,메이지,15,붕괴,"이 공격을 맞는 적의 수가 적을수록 높은 대미지를 입힌다. (기본 100% + 전 진형의 빈 칸 하나당 20%, 최대 180%)",0,1,2,,,,1,,,,,
4010,클레릭,1,힐,아군 1명 체력 50 고정 회복,1,,0,,,,,,,,,
4020,클레릭,3,신성탄,"적 1명에게 100% 대미지를 입히고, 입힌 대미지 만큼 자신의 체력 회복",0,1,0,,,,0.8,,,,,
4030,클레릭,5,긴급 치유,"아군 1명의 체력을 회복한다. (기본 30 + 최대 체력 대비 현재 체력 20%가 낮아질 때마다 15 추가, 최대 90)",1,,0,,,,,,,,,
4040,클레릭,7,심판의 빛,적 1명에게 100% 대미지를 입히고 체력을 회복할 수 없게 한다.,0,1,0,,,,1,,,,,
4050,클레릭,10,광역 힐,"아군 1명의 체력을 40 고정 회복하고, 인접한 아군 1명의 체력을 10 추가 회복한다.",1,,0,,,,,,,,,
4060,클레릭,12,신성 폭발,적 전열과 후열의 모든 적에게 50% 대미지를 준다.,0,1,2,,,,0.5,,,,,
4070,클레릭,15,기적,사망한 아군 1명을 체력 20%로 부활시킨다. (한 전투당 한 번만 사용 가능),1,,0,,,,,,,,,
5010,나이트,1,정면 베기,"적 1명에게 120% 대미지를 입힌다. 대상이 전열일 경우 150% 대미지를 입힌다. (적 전열이 있을 경우, 전열 우선 공격)",0,0,0,{0},0,,1.2,0.3,,,,
5020,나이트,3,검기,적 1명에게 150% 대미지를 입힌다. (후열 공격 가능),0,2,0,,,,1.5,,,,,
5030,나이트,5,후열 돌파,"적의 후열에 100% 근접 대미지를 준다. 적의 후열이 없는 경우, 전열에 50% 대미지를 준다.",0,0,1,"{1,5}",0,,1,,,,,
5040,나이트,7,연속 베기,"적 1명에게 90% 대미지를 두 번 입힌다.  (적 전열이 있을 경우, 전열 우선 공격, 치명타, 회피율 판정은 각각 계산한다.)",0,0,0,,,,0.9,0.9,,,,
5050,나이트,10,급소 찌르기,"적 1명에게 치명타 확률이 20% 높은 120% 대미지를 입힌다. (적 전열이 있을 경우, 전열 우선 공격)",0,0,0,,,,1.2,,,,,
5060,나이트,12,전술 베기,"적의 체력이 낮을 수록 높은 대미지를 입힌다. (기본 100% + 적의 최대 체력 대비 현재 체력 10%가 낮아질 때마다 10% 추가, 최대 150%)(적 전열이 있을 경우, 전열 우선 공격)",0,0,0,,,,1.5,,,,,
5070,나이트,15,결투,적 1명에게 120% 대미지를 입힌다. 아군과 적군이 각각 1명씩 남았을 경우 200% 대미지를 입힌다. ,0,0,0,,,,1.2,,,,,
