ClassSkillIndex,Class,"ClassSkill
AcquireLevel",ClassSkillName,ClassSkillDescription,IPCost,ClassSkillEffect,ClassSkillRange,ClassSkillRangeLine,ClassSkillTarget,ClassSkillMultiTarget,"ClassSkill
MultiTargetType","ClassSkill
MultiTargetCount",ClassSkillValue,ClassSkillSubValue
3050,스트라이커,10,급소 저격,적 1명에게 100% 대미지를 입힌다. 체력 70% 이하 대상 공격 시 대미지 계산 전 치명타 확률을 20% 올린다.,0,0,1,1,0,,,,1,
3060,스트라이커,12,화살비,적 전열과 후열의 모든 적에게 50% 대미지를 준다.,0,0,1,1,2,{10},,,0.5,
3070,스트라이커,15,최후의 일격,"적의 체력이 낮을 수록 높은 대미지를 입힌다. (기본 100% + 적의 최대 체력 대비 현재 체력 10%가 낮아질 때마다 10% 추가, 최대 180%)",0,0,1,1,0,,,,1,
4010,서포터,1,힐,"아군 1명 체력 30% 회복, IP 10 고정 회복",0,1,,,0,,,,,
4020,서포터,3,신성탄,"적 1명에게 100% 대미지를 입히고, 입힌 대미지 만큼 아군의 1명의 IP 회복 (최대 20)",0,0,1,1,0,,,,0.8,
4030,서포터,5,긴급 치유,"아군 1명의 체력을 회복한다. (기본 5 + 최대 체력 대비 현재 체력 20%가 낮아질 때마다 15 추가, 최대 50)",0,1,,,0,,,,,
4040,서포터,7,심판의 빛,적 1명에게 100% 대미지를 입히고 체력을 회복할 수 없게 한다.,0,0,1,1,0,,,,1,
4050,서포터,10,광역 힐,"아군 1명의 체력을 10% 회복하고, 인접한 아군 1명의 체력을 10% 추가 회복한다.",0,1,,,0,,,,,
4060,서포터,12,신성 폭발,적 전열과 후열의 모든 적에게 50% 대미지를 준다.,0,0,1,1,2,{10},,,0.5,
4070,서포터,15,기적,사망한 아군 1명을 체력 20%로 부활시킨다. (한 전투당 한 번만 사용 가능),0,2,,,0,,,,,
5010,파이터,1,정면 베기,"적 1명에게 120% 대미지를 입힌다. 대상이 전열일 경우 150% 대미지를 입힌다. (적 전열이 있을 경우, 전열 우선 공격)",0,0,0,0,0,{0},0,,1.2,0.3
5020,파이터,3,검기,적 1명에게 150% 대미지를 입힌다. (후열 공격 가능),0,0,2,1,0,,,,1.5,
5030,파이터,5,후열 돌파,"적의 후열에 100% 근접 대미지를 준다. 적의 후열이 없는 경우, 전열에 50% 대미지를 준다.",0,0,0,2,1,"{1,5}",0,,1,
5040,파이터,7,연속 베기,"적 1명에게 90% 대미지를 두 번 입힌다.  (적 전열이 있을 경우, 전열 우선 공격, 치명타, 회피율 판정은 각각 계산한다.)",0,0,0,0,0,,,,0.9,0.9
5050,파이터,10,급소 찌르기,"적 1명에게 치명타 확률이 20% 높은 120% 대미지를 입힌다. (적 전열이 있을 경우, 전열 우선 공격)",0,0,0,0,0,,,,1.2,
5060,파이터,12,전술 베기,"적의 체력이 낮을 수록 높은 대미지를 입힌다. (기본 100% + 적의 최대 체력 대비 현재 체력 10%가 낮아질 때마다 10% 추가, 최대 150%)(적 전열이 있을 경우, 전열 우선 공격)",0,0,0,0,0,,,,1.5,
5070,파이터,15,결투,적 1명에게 120% 대미지를 입힌다. 아군과 적군이 각각 1명씩 남았을 경우 200% 대미지를 입힌다. ,0,0,0,0,0,,,,1.2,
